PU_Borough,PU_Zone,pickup_hour,trip_count,avg_fare,avg_distance,avg_duration_min
Manhattan,West Chelsea/Hudson Yards,19,22697,15.91,2.24,15.21
Manhattan,Upper West Side North,12,22671,13.74,1.99,12.66
Manhattan,Murray Hill,9,22665,15.18,2.02,14.41
Manhattan,Upper West Side North,18,22658,12.95,1.9,11.76
Manhattan,Penn Station/Madison Sq West,23,22611,17.38,2.75,15.55
Manhattan,Upper West Side South,9,22605,14.14,2.12,12.69
Manhattan,Lenox Hill East,10,22471,15.76,2.34,14.76
Queens,JFK Airport,10,22466,60.58,14.75,42.21
Manhattan,Gramercy,18,22460,14.62,1.97,14.55
Queens,JFK Airport,6,22411,57.29,13.82,38.79
Manhattan,West Chelsea/Hudson Yards,15,22363,17.33,2.3,17.41
Manhattan,Midtown South,22,22136,15.2,2.47,13.78
Manhattan,Upper West Side North,11,22134,13.88,2.0,12.81
Manhattan,Yorkville West,18,21900,12.96,1.89,11.92
Manhattan,Sutton Place/Turtle Bay North,18,21856,14.31,1.82,14.27
Manhattan,Midtown North,10,21848,17.42,2.47,15.94
Manhattan,Gramercy,21,21829,14.58,2.17,13.48
Queens,JFK Airport,8,21819,61.8,14.95,47.06
Manhattan,Midtown South,16,21805,17.37,2.3,17.74
Manhattan,Upper West Side North,10,21757,13.77,2.05,12.46
Manhattan,Lenox Hill West,20,21701,12.13,1.83,10.54
Manhattan,Upper West Side North,13,21625,13.98,2.07,12.8
Manhattan,Upper West Side North,16,21588,13.12,1.88,12.25
Queens,LaGuardia Airport,0,21528,40.29,9.33,20.64
Manhattan,Gramercy,20,21360,14.24,2.07,13.35
Manhattan,Lincoln Square East,9,21241,13.72,1.94,12.52
Queens,JFK Airport,9,21193,60.03,14.62,42.19
Manhattan,Gramercy,19,21174,14.06,1.96,13.44
Manhattan,Central Park,13,21173,15.94,2.1,15.59
Manhattan,West Village,19,21073,14.56,1.92,14.38
Manhattan,Clinton East,23,21032,15.59,2.53,13.29
Manhattan,Greenwich Village South,23,21004,15.09,2.32,13.79
Manhattan,Greenwich Village South,22,20916,15.84,2.36,14.97
Manhattan,Lenox Hill West,9,20887,13.16,1.79,12.15
Manhattan,Midtown South,15,20852,17.78,2.37,17.65
Manhattan,East Village,19,20830,14.22,2.0,13.56
Manhattan,Yorkville West,17,20790,12.9,1.81,12.18
Manhattan,Lenox Hill East,9,20401,15.37,2.32,14.01
Manhattan,Greenwich Village South,21,20362,16.0,2.36,15.35
Manhattan,Midtown South,14,20327,18.46,2.53,17.99
Manhattan,Upper West Side North,9,20317,14.23,2.21,12.74
Manhattan,Lenox Hill East,8,20302,15.57,2.44,13.73
Manhattan,Clinton East,16,20277,16.51,2.31,16.46
Manhattan,Union Sq,11,20122,15.27,1.85,15.55
Manhattan,East Chelsea,10,20119,18.35,2.35,18.93
Manhattan,Times Sq/Theatre District,9,20031,21.63,3.55,17.97
Manhattan,Yorkville West,15,19987,13.42,1.84,12.94
Manhattan,Central Park,17,19968,15.35,1.95,15.45
Manhattan,West Chelsea/Hudson Yards,14,19901,17.79,2.42,17.55
Manhattan,West Village,1,19895,14.61,2.39,12.69
